Title,Channel,Views,Likes,Comments,Hashtags_Count,Caption_Length,Posting_Hour,Video_Link,Title_Clean,Like_Rate,Comment_Rate,Engagement_Score
Supergirl Trailer Breakdown,ComicVerse,275240,15790,861,0,1454,8,https://www.youtube.com/watch?v=3jMtdP8TdSU,Supergirl Trailer Breakdown,5.736811509954949,0.3128179043743642,6.362447318703677
"I Spent 2,313,422 Robux in PULL THE LUCKY BLOCK Roblox",SenpaiUnlimited,243549,6061,947,2,351,3,https://www.youtube.com/watch?v=1jStvE5S9tg,"I Spent 2,313,422 Robux in PULL THE LUCKY BLOCK Roblox",2.488616253813401,0.3888334585648062,3.266283170943013
नसीब वाले होते है जो बाबा श्याम का यह भजन सुनते है~Top Khatu Shyam Bhajans| Shyam Baba Ke Bhajans,Inspire Bhakti Sagar,27497,168,3,171,3072,11,https://www.youtube.com/watch?v=XaA-xdwS0ns,नसब वल हत ह ज बब शयम क यह भजन सनत हTop Khatu Shyam Bhajans Shyam Baba Ke Bhajans,0.6109757428083064,0.0109102811215769,0.6327963050514601
RAMAYANA Teaser Reaction 🔥 Rama | Namit Malhotra’s Ramayana | Nitesh Tiwari,Sabine Reacts: Bharat,29135,2526,235,9,1173,16,https://www.youtube.com/watch?v=UUW0N_Ru490,RAMAYANA Teaser Reaction Rama Namit Malhotras Ramayana Nitesh Tiwari,8.669984554659345,0.8065900120130427,10.283164578685431
My Last Free Fire Gameplay 😑 Enough is Enough - Tonde Gamer,Tonde Gamer,1075982,95050,13321,0,882,7,https://www.youtube.com/watch?v=u28KlosdRTw,My Last Free Fire Gameplay Enough is Enough - Tonde Gamer,8.833790899847767,1.2380318629865554,11.309854625820877
"#Video - चोली के समान - #Ashish Yadav, Khushi Kakkar का आ गया लगन का सबसे ब्लास्ट - New #Magahi Song",Aashish Yadav Dhamaka,78700,512,10,0,1334,0,https://www.youtube.com/watch?v=tqYnwTK59CM,"#Video - चल क समन - #Ashish Yadav, Khushi Kakkar क आ गय लगन क सबस बलसट - New #Magahi Song",0.650571791613723,0.012706480304955527,0.6759847522236341
Terror Official Trailer | Adityaa | Ranjan Shivaraam Gowda | Harsha Vardhan Raaj | Silk Manju,MRT Music,866712,12528,603,40,2684,12,https://www.youtube.com/watch?v=89C_B5mUIzk,Terror Official Trailer Adityaa Ranjan Shivaraam Gowda Harsha Vardhan Raaj Silk Manju,1.4454628527123197,0.06957328385899814,1.5846094204303158
[Hindi] BGIS 2026 | GRAND FINALS | Day 3 #BGMILIVE #BGIS,KRAFTON INDIA ESPORTS,6630327,212939,764,5,655,13,https://www.youtube.com/watch?v=lDw_cNwQS3A,Hindi BGIS 2026 GRAND FINALS Day 3 #BGMILIVE #BGIS,3.211591223177982,0.011522810262600925,3.234636843703184
Ishq e Pak (Official MV) Mankirt Aulakh | Zehr Vibe | New Punjabi Song 2026,Mankirt Aulakh,2846730,43024,893,8,2635,8,https://www.youtube.com/watch?v=C6TbXCj6_oE,Ishq e Pak Official MV Mankirt Aulakh Zehr Vibe New Punjabi Song 2026,1.511348108180263,0.03136932550680957,1.5740867591938823
Masters of The Universe – Official Trailer,Amazon MGM Studios,9867701,69105,7238,3,1304,12,https://www.youtube.com/watch?v=X21JsHLHnY8,Masters of The Universe Official Trailer,0.7003150987246168,0.07335041870441758,0.8470159361334519
🔴LIVE - HYDRA | DYNAMO vs CONQUEROR Lobby - Day 11 #bgmi #shorts,Dynamo Gaming,335221,6620,11,3,919,17,https://www.youtube.com/watch?v=xBXmrmZyG-8,LIVE - HYDRA DYNAMO vs CONQUEROR Lobby - Day 11 #bgmi #shorts,1.9748166135176497,0.003281417333639599,1.981379448184929
हनुमान जन्मोत्सव का No.1 बधाई गीत Hanuman Janmotsav Bhajan 2026 | Nonstop Hanuman Jayanti Song 2026,Bhajan india Chetak,130237,1235,68,10,3782,23,https://www.youtube.com/watch?v=WQCvbgvUklM,हनमन जनमतसव क No.1 बधई गत Hanuman Janmotsav Bhajan 2026 Nonstop Hanuman Jayanti Song 2026,0.9482712286063101,0.05221250489492234,1.0526962383961547
"Ramayana Teaser: Public Angry on Namit Malhotra, 4000cr SCAM | Ramayan Rama Trailer Review Reaction",BHT REVIEW,42018,1908,792,8,1414,8,https://www.youtube.com/watch?v=CqDqqb_V9Bs,"Ramayana Teaser Public Angry on Namit Malhotra, 4000cr SCAM Ramayan Rama Trailer Review Reaction",4.540911038126517,1.8849064686562902,8.310723975439098
